,index,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,category,description,title,also_buy,rank,also_view,price,asin,match_value
0,0,0195153448,Classical Mythology,Mark P. O. Morford,2002,Oxford University Press,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0195153448.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg,"['Books', 'New, Used &amp; Rental Textbooks', 'Humanities']","['""A fine introduction to the subject, clear, concise, and intelligently organized. Classical Mythology is easier to use than ever; in my opinion, it has no serious competition in the field.""--Ralph Doty, University of Oklahoma<br /><br />""A usefully thorough and delightfully well thought-out and compendious guide to the subject. Excellent selections.""--Rachel Hadas, Rutgers University-Newark', 'Mark P.O. Morford, Professor, Department of Classics, University of Virginia. Robert J. Lenardon, Ohio State University, Emeritus.', '', '']",Classical Mythology,"['019953831X', '0199536325', '0199537968', '0520282116', '014044789X']","5,219,563 in Books (","['019999739X', '0195308050', '0195397703', '0073407526', '0190851643', '0140268863', '0199537372', '0253200016', 'B00Y2Q62W8', '0137167148', '0801311381', '0446574759', '0393356256', '0205176070', '0321967046', '019953831X', '0136061710']",,0195143388,100
1,1,0002005018,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0002005018.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg,"['Books', ""Children's Books"", 'Animals']","['Pamela Duncan Edwards and Henry Cole, the creators of Some Smug Slug and Four Famished Foxes and Fosdyke, take on metamorphosis with Clara Caterpillar. ""Grow up to be courageous and contented, Clara,"" calls a cream-colored butterfly to the egg she has laid on a cabbage leaf at the story\'s opening. After ""crimson-colored Catisha"" scorns Clara for her plain coloring, the heroine\'s camouflage saves the day.', 'Copyright 2001 Cahners Business Information, Inc.', '', 'Kindergarten-Grade 3-Clara is the plain Jane of the caterpillar set, which is fine with her. However, crimson-colored Catisha thinks that Clara is positively dull. When they become butterflies, Clara is cream-colored, perfect for hiding camouflaged in the camellias. Catisha is brilliant red, and a sitting duck for a hungry crow. Predictably, Clara saves Catisha\'s life, proving that colorless and clever is better than flashy and frivolous. The text is a lesson in alliteration (""\'Catisha is conceited,\' comforted Cornelius""). The pictures are an interesting combination of realistically rendered backgrounds and insect bodies with faces drawn in the style of Dr. Seuss. An additional purchase.<br /><i>Holly Belli, Bergen County Cooperative Library System, West Caldwell, NJ </i><br />Copyright 2001 Reed Business Information, Inc.', '', '']",Clara Caterpillar,[],"4,370,670 in Books (","['1782358854', '0064435024', '0064435164', '006443480X', '1479521647', '0553522469', '1614293902', '0374427860', '1404840974', '0544943910', '0843199555', '0689860021', '0761461019', '0152019901', '0698114272', '0307978044', '0671796070', '1426309201', '0152163433', '0395446120', '1416942068', '1851777121', '0439050235', '038573719X', '1512434213', '0399226478', '0688165044', '1477816771', '0140558586', '097690697X', '0062668072', '0152026088', '0064431436', '0805029605', '006028997X', '1476550999', '0525475648', '0061804428', '1589254694', '0803737424', '145214124X', '1423118979', '0694006513', '0689877153', '1570914613', '145213183X', '0375828826', '0810919397', '1986544729', '1570918996', '0802787975', '0590259385', '0805059830', '0545156254', '0007302622', '0375848177', '0064438368', '144243385X', '0761101667', '1596432721']",$14.89,0060289953,76
2,2,0060973129,Decision in Normandy,Carlo D'Este,1991,HarperPerennial,http://images.amazon.com/images/P/0060973129.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg,"['Books', 'Literature &amp; Fiction', 'Literary']","['Darlene Biese Schultz teaches fiction writing at a local senior center in her hometown in Wisconsin. She writes a monthly column for her hometown paper, entitled, ""Seniors Today."" She earned a Bachelor of Science degree in journalism/advertising from Kent State University in 1979 and was self-employed as an advertising consultant, editor and business writer. Biese Schultz has written numerous short stories, poetry and features although this is her first novel. She enjoys reading fiction, photography, gardening, walking, scrap-booking and traveling. She lives in Wisconsin with her husband, Dave and has one child, two step children, four grandchildren, three step grandchildren, and one great-grandson. A sequel to ""Decision or Destiny"" is in the planning stage - and may be written in less time than the first book which was started more than two decades ago.', '', '']",Decision or Destiny,[],"10,562,636 in Books (",[],$12.99,1463527101,72
3,3,0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux,http://images.amazon.com/images/P/0374157065.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg,"['Books', 'Health, Fitness &amp; Dieting']",[],Flu: The Story of the Great Influenza Pandmic of 1918 and the Search for the Virus That Caused It,"['0143036491', 'B005APQFD6', '1594489254', '1598530496', '0195152948']","10,931,958 in Books (","['0143036491', '1541736125', '0195307143', '0521541751', '1594482691', '1250139430', '0060006935', '1101931469', '125011800X', '1250064449', '1501181246', '0393346617', '0140250913', 'B005APQFD6', 'B000EOTEM2', '0385479565', '0199811342', '0385121229', '1426217668', '0143123572', '1782438084', '0791096408', 'B0088ARIHC', '0990724344', '1133611095', '1250145120', '0195327314', '0312677081', '041563685X', '0345466632', '0684840022', '1502778882', 'B07BF46SSF', '1429601582', '1591027225', '0812975928', '080907821X', 'B017V8N370', '0307386716', '0393351556', '1451677618', '0978534425', '0143118307', '0312573014', '1439123101', '1454916656', '0425217752', '0809016427', '1495907376', '1491422203', '0312306016', '1476797749', '1444791699', '1628736097', '1546868631', '1501179950', '1610395913', '0547520301', '0692711759', '0786884401']",$3.80,0333751051,99
4,4,0393045218,The Mummies of Urumchi,E. J. W. Barber,1999,W. W. Norton &amp; Company,http://images.amazon.com/images/P/0393045218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0393045218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg,"['Books', 'Arts & Photography', 'Collections, Catalogs & Exhibitions']","['This compelling book provides a historical, cultural and scientific look at mummies and mummification and proves that fact is as compelling as fiction. As the companion catalogue to the Mummies of the World exhibition, this book features mummies from a variety of natural environments and several cultures, including Asia, Oceania, South America, Europe and Ancient Egypt. <br><br>The book reveals not only many of the techniques that ancient cultures used to preserve the bodies of the dead, but also the many natural processes leading to the preservation of bodies in desert sands, ice or acidic bogs, or even in attics.<br> <br>Nearly thirty scientific essays, with outstanding photographs and illustrations, bring together the latest research in mummy studies, with contributions from archaeology, anthropology, palaeopathology, biology and many other disciplines. With dignity and reverence, this volume shares the hidden information contained within the mummies.']",Mummies of the World,[],"3,982,059 in Books (",[],$29.99,3791350307,76
5,5,0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,http://images.amazon.com/images/P/0399135782.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg,"['Books', 'Crafts, Hobbies & Home', 'Antiques & Collectibles']",[],Kitchens and Kitchenware,[],"7,078,424 in Books (",[],$6.59,0870694251,70
6,6,0425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,Berkley Publishing Group,http://images.amazon.com/images/P/0425176428.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg,"['Books', 'History', 'Historical Study &amp; Educational Resources']","['Slight shelf wear. Pages are clean. Binding is tight.', '', '']",What If? : Military Historians Imagine What Might Have Been,"['042518613X', '0425198189', '1616085460', '0345439902', '0753818736', '0399150919', '0399147950', '0465023231', '143447853X', '0812977211', '0399152385', '0345384687', '1883476070', '1521550603', '0472031430', '0544272994', '161242015X', '0692843965', '0345406141', '1539019853', '0553580078', '1400079497', '0374531943', '0306820447', '1501121464', '0385479662', '1616084456', '0307597962', '0374537186', '1328573915', '0190229233', '0544668251', '0486401588', '1416571779', '0812979230', '150117200X', '0307389006', '0544916085', '1848549563', '0785199772', 'B0747W5SC9', '0895293013']","5,592,796 in Books (","['042518613X', '0399152385', '0425198189', '1616085460', '0399591559', '0345439902', 'B001KGXHRG', '0345425316', '0525510273', '0753818736', '0544272994', '0812977211', '143447853X', '0679761284', '0312352042', '0743203178', '0465023231', '1400079497', '1616084456', '0553580078', 'B017MYA2PE', '0007149832', '1481483382', '1633538354', '0684848015', '0345406141', '0671319728', '0609808443', '0743223098', '0547572484', '0609809644', '0345457137', '1616955252', '1633536696', '0142004944', '1521550603', '1465475850', '0375760741', '0307409600', '0385541155', '1101980990', '1250165547', '1250080401', '1984854275', '1476795924', '0316421820', '1501183664', '1324002646', '0385544154', '1501175513']",$2.40,0330487248,84
7,7,0671870432,PLEADING GUILTY,Scott Turow,1993,Audioworks,http://images.amazon.com/images/P/0671870432.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg,"['Books', 'Mystery, Thriller &amp; Suspense', 'Mystery']","['RUTH RENDELL has won numerous awards, including three Edgars, the highest accolade from Mystery Writers of America, as well as three Gold Daggers, a Silver Dagger, and a Diamond Dagger for outstanding contribution to the genre from Englands prestigious Crime Writers Association. A member of the House of Lords, she lives in London.', '', '']","GUILTY THING SURPRISED, A","['0345513584', '0345498453', '0375704892', '0099534797', '0375704930', '0375704957', '0375704906', 'B0050NY7EC', '1250066204', '0345345304', '0375704884', '0345342534', '0099249111', '0307277232', '1439150370', '0099437317', '1400034191', '0345327462', '0679774432', '0375724842', '0525954341', '0307388786', '147674713X', '0099534932', '0452270642', '1451624107', '0375704949', '1476784345', '1439150400', '0440226023', '0345341988', '0743219589']","2,025,533 in Books (","['0345342534', '0345345304', '0375704892', '0375704884', '0345513584', '0099534797', '0375704930', '0345498453', 'B002OG97K2', '0375704965', '0316422738', '0099249111', '0375704906', '0099534932', '0345359941', '0375704957', '0609604171']",$17.78,0099534843,67
8,8,0679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,1996,Random House,http://images.amazon.com/images/P/0679425608.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679425608.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg,"['Books', 'Engineering &amp; Transportation', 'Transportation']","[""David Cordingly is the world's foremost expert on pirates. For many years the curator and head of exhibitions at the famed National Maritime Museum in Greenwich, England, he has written several acclaimed books on the subject of pirates. He lives by the sea in Sussex. <br />"", '', '']",Under the Black Flag: The Romance and the Reality of Life Among the Pirates (Harvest Book),"['015603462X', '1479322571', '0312335806', '0786884517', '0486404889', '0814766781', '0807050253', '1510713026', '0762773952', '1631492101', '0691150095', '0674095022', '1599219050', '048640966X', '0307236617', '0061929387', '0470128216', '081303079X', '1613736010', '1574889117', '0812973690', '0760708401', '0486275590', '1532873468', '198318327X', '006209453X', '1510702857', '1523440422', '0812980174', '1532792506', '0375758720', '1599631962', '490906902X', '1841764973', '0306903199', '081187852X', '1331955696', '1938120124', '0756630053', '0307236609', '0393927881', '0525575022', '0521379830', '067976724X', '1602061009', '1514650460', 'B01LWTUVLQ', '0151013020', '1572152648', '0691137471', '1602396248', 'B00W6669U6', '0765602571', '1909979120', '1478248963', '0985452374', '0486457265', '0763631434', '1591143489', '1926892836', '0312335792', '1984803131', '0060929715', '1611685273', '1469636042', '1400079144', '0767919521', '0451531973', '1439154252', '0062415662', '0062414798', '055338368X', 'B00E1LSX44', '0486276074', '0143131834', '0061144835', '1544275803', '1846032407', '0078656095', '0062407406', '0525428305', '1250101700', '0978646622', '0804137307', '0307339343', '031627383X', 'B0057FGCR8', '0764981277', '0804169888', '0385339046', '0226816389', '0553384902', 'B071GW3JJP', '0061379743', '1416592814', '1416591060', 'B07G1JQBTV']","2,552,673 in Books (","['015603462X', '1631492101', '1479322571', '198318327X', '0307236617', '0807050253', '1510713026', '0486404889', '0786884517', '0762773952', '0061929387', '1599219050', '0312335806', '0470128216', '048640966X', '1574889117', '0674095022', '0812973690', '0812980174', '0691150095', '006209453X', '0521379830', '1613736010', 'B001U7DQFS', '1532873468', '1602396248', '1523440422', '0814766781', '081303079X', '1510702857', '1558219692', '1572152648', '1599631962', '0756630053', '0393927881', '1331955696', '1846032407', '0763631434', '0143131834', 'B000PS6Z38', '1597971014', '1783270187', '0375758720', '1514650460', '1416592776', '0142180106', '0375708502', '0814712363', '0143114255', '0140100083', '0674034031', '0062262068', '0674062310', '080703410X', '0312302762', '1492987530', '0142004596', '0981884016', '0486275590', '0618619178']",$10.55,0156005492,92
9,9,074322678X,Where You'll Find Me: And Other Stories,Ann Beattie,2002,Scribner,http://images.amazon.com/images/P/074322678X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/074322678X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg,"['Books', 'Literature &amp; Fiction', 'Short Stories &amp; Anthologies']","['Ann Beattie is a writer of enormous compassion and honesty. Beattie expertly draws contemporary domestic life and evokes the pain and confusion of modern relationships. Her characters are wonderfully authentic, her detailing of everyday life photographically true.', ""Beattie's stories offer starkly honest, often bittersweet glimpses of life -- women nursing broken hearts, men looking for love, married couples struggling to stay married, having affairs, leaving or wanting to leave. Disillusionment abounds. Love is often frustrated, unrequited, or absent. But Beattie moves gently among her characters, gracefully revealing their failings, their troubles, and ultimately their ability to endure. Her unsentimental voice propels these remarkable stories forward, and her keen insight affords us a rare glimpse into the human heart."", '<b>Ann Beattie</b> has been included in four O. Henry Award Collections and in John Updikes <i>The</i> <i>Best American Short Stories of the Century</i>. In 2000, she received the PEN/Malamud Award for achievement in the short story form. In 2005, she received the Rea Award for the Short Story. She and her husband, Lincoln Perry, live in Key West, Florida, and Charlottesville, Virginia, where she is Edgar Allan Poe Professor of Literature and Creative Writing at the University of Virginia.', '', '']",Where You'Ll Find Me: And Other Stories,"['0679731938', '0394524942', '0385116594']","4,047,732 in Books (","['0525557342', '067976500X', '0894809261', '0679731938', '1439168741']",$5.99,0684815109,100
